ARRAY SIZE;Num SERVERS;CUTOFF;Thread CLOCK;SEQ CLOCK;;;;;;;;;server AVG;seq AVG;
1000000;20;3100;108937981;151854150;69382127;148734116;69354356;150186671;67142319;148596467;66798802;150143203;76323117;149902921,4;1,964056596
1000000;20;3150;64732865;152920323;86851421;147601533;58740322;148581978;57713391;148128583;68283354;146810658;67264270,6;148808615;2,212298055
1000000;20;3200;66282015;147819478;67348792;147869586;66924376;149770103;67302909;151919956;93841313;151515462;72339881;149778917;2,07048885
1000000;20;3250;67540775;148492023;64342257;149991668;66973276;148363431;64101372;149537066;63901540;150734246;65371844;149423686,8;2,285749914
1000000;20;3300;67255215;148692460;91686630;147875624;57821458;148366450;72126043;150576675;78568961;149566648;73491661,4;149015571,4;2,027652778
1000000;20;3350;60916136;150301982;64539674;148433462;133265555;148543340;101760936;149020884;67225029;146087400;85541466;148477413,6;1,735736135
1000000;20;3400;193868360;147640775;72552874;149030544;58091925;149933107;62541355;149217094;139015402;149974764;105213983,2;149159256,8;1,41767522
1000000;20;3450;69280701;149097557;67577603;148017498;79460659;147827326;64032548;148925496;68108274;152885911;69691957;149350757,6;2,143012824
1000000;20;3500;68080502;146549851;66890567;146567962;65211616;149244261;119979449;148911006;71254872;150231346;78283401,2;148300885,2;1,894410347
1000000;20;3550;68200643;150594183;68553217;148498061;67475574;150496984;102055552;151854150;70376457;150722776;75332288,6;150433230,8;1,996928987
1000000;20;3600;64512507;152282189;67030630;148539114;59659187;148769131;57860096;150997469;68521823;150999280;63516848,6;150317436,6;2,366575797
1000000;20;3650;99931055;148223972;66172741;150928644;67058401;153531893;68499486;152539978;71860405;148552999;74704417,6;150755497,2;2,018026538
1000000;20;3700;71372598;151000488;63101005;145724563;145092466;150298963;67276346;151147193;65424126;150538037;82453308,2;149741848,8;1,816080544
1000000;20;3750;61197470;148513154;65847336;150449289;66694961;148146091;67604166;150495172;66461925;148684611;65561171,6;149257663,4;2,27661678
1000000;20;3800;66883926;148287362;62534714;148953870;71430555;152312979;65969892;153043482;97196195;147705374;72803056,4;150060613,4;2,061185626
1000000;20;3850;66457699;148912214;68527860;147280957;61882090;149763461;122488517;150950983;67794338;149258750;77430100,8;149233273;1,927328926
1000000;20;3900;66921357;148025347;75710339;149215282;79406324;147448792;61494502;153664109;67771397;149959671;70260783,8;149662640,2;2,130102058
1000000;20;3950;115386334;153286783;63535081;150635236;58407068;149942164;72382625;150796430;66274167;149641510;75197055;150860424,6;2,006201235
1000000;20;4000;108523224;152814068;66643041;148444330;67229858;148760076;63283933;149576912;66805442;149697656;74497099,6;149858608,4;2,01160326
1000000;20;4050;61978686;148152128;67296268;147073277;99187270;150067738;70416906;150380465;62656666;151377211;72307159,2;149410163,8;2,06632601
1000000;20;4100;61082159;147218171;64725017;147095011;69243271;150321904;66822950;149925259;73401103;151913919;67054900;149294852,8;2,22645702
1000000;20;4150;66452869;147947467;69627841;147646209;69925476;148706949;61508991;149626417;67627108;147811025;67028457;148347613,4;2,213203467
1000000;20;4200;94745084;146660331;70135572;151227488;66140141;152465117;59289105;148617598;74368265;150167352;72935633,4;149827577,2;2,054243862
1000000;20;4250;71322489;149374061;71058663;149442885;66426909;150602031;70188700;150804881;68302672;148840371;69459886,6;149812845,8;2,156825373
1000000;20;4300;67511796;148278306;63168019;150912948;58375070;150468005;70495390;150273607;61666562;149320330;64243367,4;149850639,2;2,33254646
1000000;20;4350;67730344;149357761;64217286;148030780;57183323;150099735;66909886;152480210;71961830;150892422;65600533,8;150172181,6;2,289191458
1000000;20;4400;66745673;148131602;69226367;151123647;61198074;152592502;129411999;150864651;70005772;148180503;79317577;150178581;1,893383367
1000000;20;4450;67980285;148859690;67623486;151404378;98581736;152216383;61934011;151205753;72403151;145914131;73704533,8;149920067;2,034068452
1000000;20;4500;107229448;153706369;61755913;149746558;67580621;151526933;67126622;154276886;68715618;149898092;74481644,4;151830967,6;2,038501819
1000000;20;4550;61332100;147863549;69033175;146040309;65482084;149346290;64680341;147989727;65930649;146720704;65291669,8;147592115,8;2,260504537
1000000;20;4600;92915204;151111573;67432105;148796903;59854793;148025347;57531672;149570271;67060213;148999150;68958797,4;149300648,8;2,165070367
1000000;20;4650;153825906;150388314;68120348;151380229;67695329;147376950;67351811;147017735;67438746;147923922;84886428;148817430;1,753135731
1000000;20;4700;71136543;151971272;70773706;149944578;178223512;149938541;58806128;149058919;62991127;146705007;88386203,2;149523663,4;1,691708185
1000000;20;4750;60374597;149238828;63238653;148535492;68368478;152645026;62567315;147710204;92764273;149750180;69462663,2;149575946;2,153328696
1000000;20;4800;60815315;148802941;66463735;150225309;67580018;151130288;98181469;150009780;71209593;150140788;72850026;150061821,2;2,059873269
1000000;20;4850;127378664;148364035;67318606;148545755;67104888;158191419;65480273;149737502;63452975;149203208;78147081,2;150808383,8;1,929801875
1000000;20;4900;67264874;146130264;66911697;149686790;101774821;150496380;58972152;151447242;65556342;147941430;72095977,2;149140421,2;2,068637211
1000000;20;4950;66913508;147347971;71503002;148021725;98760438;147818270;70590174;151517877;65010577;147405325;74555539,8;148422233,6;1,990760633
1000000;20;5000;66732996;148923685;61475182;150769866;67778038;151164700;68114311;151553497;70992253;148032591;67018556;150088867,8;2,239512111
5000000;20;5;;;1090484016;806532511;947480427;806612806;913414819;802147077;915877401;804280629;966814165,8;804893255,8;0,832521165
5000000;20;10;;;688294800;794961579;633692386;805775444;642623244;801243305;763913373;804300552;682130950,8;801570220;1,175097273
5000000;20;25;;;422270212;796542727;430229076;801870572;447380210;805397515;524830475;802000372;456177493,3;801452796,5;1,756888072
5000000;20;50;360176214;806639370;391487040;797808128;632343068;807366251;373337954;803404025;619824293;812215345;475433713,8;805486623,8;1,694214357
5000000;20;100;514954794;810065491;503866838;804910311;354091905;810252645;601779651;798717937;504814078;815964458;495901453,2;807982168,4;1,629320026
5000000;20;150;365636274;805524900;342852417;809641075;339268724;798367173;389789978;799609029;337327155;803408855;354974909,6;803310206,4;2,263005595
5000000;20;200;327043357;804374206;547002159;804851750;338602819;809011997;592885621;798663601;450810557;807270864;451268902,6;804834483,6;1,783492013
5000000;20;250;338917358;809461770;339130472;806176316;338147009;806438934;371564219;809060899;362125633;808498230;349976938,2;807927229,8;2,308515624
5000000;20;300;365630841;803717357;332723172;804415863;441527126;809027090;347481151;801871779;331881583;800862356;363848774,6;803978889;2,209651221
5000000;20;350;299644046;802418751;299817314;799101904;326703461;801937584;431682838;802760457;327488904;804088646;337067312,6;802061468,4;2,379529069
5000000;20;400;517364247;805725939;376173635;806086965;413333921;806735362;390336346;803931074;331945578;800971026;405830745,4;804690073,2;1,982821859
5000000;20;450;454764934;806834373;328911876;805248395;477035630;802727253;335546175;805858154;327979729;807305275;384847668,8;805594690;2,09328198
5000000;20;500;326586339;805372159;329320595;808613540;301449174;801988297;331954030;797751982;364686620;837342248;330799351,6;810213645,2;2,449260076
5000000;20;550;388772706;801133427;359995701;803188496;327079580;803032736;304833638;799567977;303451116;809830644;336826548,2;803350656;2,385057414
5000000;20;600;314030133;807393419;312982676;802112060;332486513;800713237;323152370;802924066;305586480;799282416;317647634,4;802485039,6;2,526337214
5000000;20;650;452851741;804050008;330899932;805132481;332318075;801889287;356531546;801231230;344211395;806131037;363362537,8;803686808,6;2,211804259
5000000;20;700;322174944;800178943;540508527;802919841;369134842;803887003;326438428;801162406;419597534;806636352;395570855;802956909;2,02986873
5000000;20;750;298913543;804776888;369244720;803325541;335070443;799578240;327089240;807476129;360708093;804277007;338205207,8;803886761;2,376920114
5000000;20;800;301502301;802617376;300127023;808167390;297894460;804915141;329172080;798880941;302237031;806157600;306186579;804147689,6;2,626332259
5000000;20;850;326545286;812065622;343482702;811458278;326251878;803177026;324006032;801643573;358450174;800092610;335747214,4;805687421,8;2,399684606
5000000;20;900;582290907;808572488;357079121;811739613;328349811;813129984;326466802;803217475;323572560;798840492;383551840,2;807100010,4;2,104278811
5000000;20;950;379664354;806049534;330046269;811098460;329158194;806127414;358101826;801821670;297083661;809470222;338810860,8;806913460;2,381604468
5000000;20;1000;341783829;801671344;1067569150;801487208;325346295;802215297;409320379;799765997;440253274;806140696;516854585,4;802256108,4;1,552189206
5000000;20;1050;393594028;801436496;324700916;802890258;325701887;814082053;349108182;800761535;1877409454;801723263;654102893,4;804178721;1,229437645
5000000;20;1100;315064912;799448440;330535284;803989031;325588991;803690189;379659525;802019088;325544316;799921154;335278605,6;801813580,4;2,391484476
5000000;20;1150;325202006;802802719;301895324;806988925;368644621;814595821;413366521;802191148;292357727;802273254;340293239,8;805770373,4;2,367870646
5000000;20;1200;315184449;802807548;320642094;805947506;365659216;804985173;442459273;805995803;292950582;812052340;347379122,8;806357674;2,321261184
5000000;20;1250;293368961;799565562;344659356;815970495;294783481;801265039;324438297;804750325;324681597;801077885;316386338,4;804525861,2;2,542859041
5000000;20;1300;303204193;813398640;448712019;798661186;485100749;805626929;347729281;806493269;323380576;801551807;381625363,6;805146366,2;2,109782114
